studyName	Date GMT	Event Number	Station Name	Depth (m)	Abundance	Thymidine Incorp. (pmol/L/hr)	Leucine Incorp. (pmol/L/hr)
PAL0203	12/23/2002	234	B	56	328000000	0.34	3.13
PAL0203	12/23/2002	233	E	0	378000000	0.63	11.85
PAL0203	12/23/2002	233	E	54	355000000	0.31	2.76
PAL0203	12/27/2003	241	B	0	528000000	1.08	11.62
PAL0203	12/27/2003	241	B	53	478000000	0.51	5.63
PAL0203	12/27/2003	240	E	0	498000000	0.96	19.85
PAL0203	12/27/2003	240	E	60	440000000	0.73	5.47
PAL0203	12/31/2003	254	B	0	587000000	0.56	10.76
PAL0203	12/31/2003	254	B	44	561000000	0.88	4.01
PAL0203	12/31/2003	253	E	0	642000000	1.06	19.84
PAL0203	12/31/2003	253	E	51	481000000	0.39	5.52
PAL0203	2/6/2003	260	B	0	409000000	0.29	13.53
PAL0203	2/6/2003	260	B	21	368000000	0.47	13.12
PAL0203	2/6/2003	260	B	46	381000000	0.82	6.57
PAL0203	2/6/2003	259	E	0	484000000	1.15	18.68
PAL0203	2/6/2003	259	E	25	367000000	0.56	8.97
PAL0203	2/6/2003	259	E	51	422000000	1.08	3.52
PAL0203	2/10/2003	263	B	0	519000000	1.06	12.55
PAL0203	2/10/2003	263	B	23	553000000	2.18	24.82
PAL0203	2/10/2003	263	B	51	459000000	0.42	4.43
PAL0203	2/10/2003	263	E	0	380000000	0.52	10.21
PAL0203	2/10/2003	262	E	21	443000000	0.71	8.95
PAL0203	2/10/2003	262	E	55	467000000	0.42	2.25
PAL0203	2/13/2003	268	B	0	970000000	0.71	17.53
PAL0203	2/13/2003	268	B	21	1050000000	1.19	19.06
PAL0203	2/13/2003	268	B	46	658000000	0.48	9.64
PAL0203	2/13/2003	267	E	0	1080000000	2.07	28.37
PAL0203	2/13/2003	267	E	24	923000000	0.96	9.57
PAL0203	2/13/2003	267	E	63	562000000	0.22	2.84
PAL0203	2/17/2003	271	B	0	1300000000	0.07	3.44
PAL0203	2/17/2003	271	B	20	1140000000	0.28	7.75
PAL0203	2/17/2003	271	B	49	774000000	0.31	5.51
PAL0203	2/17/2003	270	E	0	1480000000	0.55	10.08
PAL0203	2/17/2003	270	E	18	1170000000	0.57	13.17
PAL0203	2/17/2003	270	E	47	771000000	0.4	7.56
PAL0203	2/22/2003	276	B	0	799000000	1.27	21.77
PAL0203	2/22/2003	276	B	19	735000000	0.8	13.8
PAL0203	2/22/2003	276	B	40	677000000	0.52	9.41
PAL0203	2/22/2003	275	E	0	774000000	0.66	15.33
PAL0203	2/22/2003	275	E	29	826000000	0.81	7.93
PAL0203	2/22/2003	275	E	62	788000000	0.53	5.73
PAL0203	2/26/2003	280	B	0	834000000	0.52	11.04
PAL0203	2/26/2003	280	B	29	777000000	0.49	9.26
PAL0203	2/26/2003	280	B	58	639000000	0.38	4.26
PAL0203	2/26/2003	279	E	0	1010000000	0.55	8.82
PAL0203	2/26/2003	279	E	29.5	876000000	0.97	14.03
PAL0203	2/26/2003	279	E	61	497000000	0.27	4.42
PAL0203	3/1/2003	283	B	0	799000000	0.75	13.64
PAL0203	3/1/2003	283	B	27	652000000	0.51	10
PAL0203	3/1/2003	283	B	49	681000000	0.47	8.79
PAL0203	3/1/2003	282	E	0	786000000	0.77	11.1
PAL0203	3/1/2003	282	E	41	701000000	0.59	9.59
PAL0203	3/1/2003	282	E	65	599000000	0.57	8.49
PAL0203	3/4/2003	287	B	0	856000000	0.53	13.03
PAL0203	3/4/2003	287	B	29	735000000	0.26	8.65
PAL0203	3/4/2003	287	B	60	676000000	0.31	7.6
PAL0203	3/4/2003	286	E	0	803000000	0.56	9.16
PAL0203	3/4/2003	286	E	26	932000000	0.89	7.87
PAL0203	3/4/2003	286	E	69	703000000	0.45	7.34
PAL0203	3/8/2003	291	B	0	609000000	0.17	5.66
PAL0203	3/8/2003	291	B	28	557000000	0.29	6.72
PAL0203	3/8/2003	291	B	57	580000000	0.39	6.6
PAL0203	3/8/2003	290	E	0	493000000	0.39	7.34
PAL0203	3/8/2003	290	E	33	518000000	0.26	4.61
PAL0203	3/8/2003	290	E	66	560000000	0.36	3.94
PAL0203	3/11/2003	295	B	0	512000000	0.29	8.07
PAL0203	3/11/2003	295	B	24	454000000	0.31	4.98
PAL0203	3/11/2003	295	B	52	475000000	0.32	4.39
PAL0203	3/11/2003	294	E	0	497000000	0.37	9.04
PAL0203	3/11/2003	294	E	30	518000000	0.36	4.97
PAL0203	3/11/2003	294	E	65	484000000	0.26	3.1
PAL0203	3/14/2003	299	B	0	459000000	0.41	9.42
PAL0203	3/14/2003	299	B	23	421000000	0.38	10.3
PAL0203	3/14/2003	299	B	49.5	413000000	0.3	5.07
PAL0203	3/14/2003	298	E	0	481000000	0.39	7.11
PAL0203	3/14/2003	298	E	30	483000000	0.34	5.7
PAL0203	3/14/2003	298	E	71	502000000	0.19	3.65
PAL0203	3/18/2003	303	B	0	436000000	0.11	4.13
PAL0203	3/18/2003	303	B	28	467000000	0.21	4.68
PAL0203	3/18/2003	303	B	72	471000000	0.28	5.06
PAL0203	3/18/2003	303	E	0	465000000	0.17	4.32
PAL0203	3/18/2003	302	E	45	543000000	0.22	3.28
PAL0203	3/18/2003	302	E	89	460000000	0.21	3.31
PAL0304	10/27/2003	12	B	0	466000000	0.06	7.72
PAL0304	10/27/2003	12	B	15	508000000	0.17	9.87
PAL0304	10/27/2003	12	B	30	527000000	0.21	10.39
PAL0304	10/27/2003	12	B	55	528000000	0.26	8.84
PAL0304	10/27/2003	12	B	80	417000000	0.55	9.28
PAL0304	10/27/2003	13	E	0	530000000	0.3	9.57
PAL0304	10/27/2003	13	E	30	547000000	0.43	11.58
PAL0304	10/27/2003	13	E	80	491000000	0.15	6.78
PAL0304	10/30/2003	17	B	0	482000000	0.13	5.59
PAL0304	10/30/2003	17	B	15	495000000	0.07	3.58
PAL0304	10/30/2003	17	B	30	459000000	0.19	6.66
PAL0304	10/30/2003	17	B	55	454000000	0.16	4.59
PAL0304	10/30/2003	16	E	0	451000000	0.02	3.91
PAL0304	10/30/2003	16	E	15	452000000	0.22	9.13
PAL0304	10/30/2003	16	E	30	470000000	0.03	4.54
PAL0304	10/30/2003	16	E	55	450000000	0.21	9.04
PAL0304	11/3/2003	24	B	0	391000000	0.09	1.24
PAL0304	11/3/2003	24	B	55	333000000	0.03	2.56
PAL0304	11/4/2003	32	B	0	371000000	0.13	4.56
PAL0304	11/4/2003	32	B	20	392000000	0.17	6.13
PAL0304	11/4/2003	32	B	39	318000000	0.05	5.42
PAL0304	11/4/2003	32	B	57	298000000	0.09	5.14
PAL0304	11/4/2003	31	E	0	403000000	0.04	3.67
PAL0304	11/4/2003	31	E	18	410000000	0.07	2.68
PAL0304	11/4/2003	31	E	42	389000000	0.08	6.52
PAL0304	11/4/2003	31	E	77	322000000	0.04	2.21
PAL0304	11/7/2003	42	B	0	341000000	0.02	4.19
PAL0304	11/7/2003	42	B	20	342000000	0.07	5.5
PAL0304	11/7/2003	42	B	40	323000000	0.05	5.9
PAL0304	11/7/2003	42	B	55	309000000	0.05	5.54
PAL0304	11/7/2003	41	E	0	338000000	0.05	3.89
PAL0304	11/7/2003	41	E	20	374000000	0.13	4.49
PAL0304	11/7/2003	41	E	40	390000000	0.06	5.48
PAL0304	11/7/2003	41	E	60	337000000	0.1	4.87
PAL0304	11/10/2003	53	B	0	342000000	0.05	2.91
PAL0304	11/10/2003	53	B	20	322000000	0.05	1.57
PAL0304	11/10/2003	53	B	40	299000000	0.06	3.86
PAL0304	11/10/2003	53	B	55	260000000	0.04	1.99
PAL0304	11/10/2003	52	E	0	316000000	0.02	2.03
PAL0304	11/10/2003	52	E	20	349000000	0.05	4.08
PAL0304	11/10/2003	52	E	40	322000000	0.02	2.37
PAL0304	11/10/2003	52	E	60	298000000	0.03	1.81
PAL0304	11/17/2003	64	B	0	430000000	0.5	12.52
PAL0304	11/17/2003	64	B	20	361000000	0.18	4.63
PAL0304	11/17/2003	64	B	40	215000000	0.04	1.13
PAL0304	11/17/2003	64	B	60	190000000	0.04	1.05
PAL0304	11/17/2003	63	E	0	423000000	0.96	18.25
PAL0304	11/17/2003	63	E	20	460000000	0.56	10.27
PAL0304	11/17/2003	63	E	40	455000000	0.22	5.73
PAL0304	11/17/2003	63	E	60	290000000	0.07	1.5
PAL0304	11/20/2003	86	B	0	386000000	0.21	2.51
PAL0304	11/20/2003	86	B	20	637000000	1.05	20.36
PAL0304	11/20/2003	86	B	40	490000000	0.55	12.39
PAL0304	11/20/2003	86	B	60	262000000	0.16	2.06
PAL0304	11/20/2003	85	E	0	306000000	0.49	5.7
PAL0304	11/20/2003	85	E	20	424000000	0.43	9.68
PAL0304	11/20/2003	85	E	40	379000000	0.27	5.83
PAL0304	11/20/2003	85	E	60	267000000	0.12	2.16
PAL0304	11/25/2003	101	B	0	393000000	0.3	5.14
PAL0304	11/25/2003	101	B	20	377000000	0.61	8.49
PAL0304	11/25/2003	101	B	40	401000000	0.58	7.16
PAL0304	11/25/2003	101	B	55	390000000	0.65	5.94
PAL0304	11/25/2003	100	E	0	383000000	0.61	7.03
PAL0304	11/25/2003	100	E	20	394000000	0.34	6.26
PAL0304	11/25/2003	100	E	40	382000000	0.59	5.56
PAL0304	11/25/2003	100	E	60	390000000	0.43	4.15
PAL0304	11/27/2003	108	B	0	406000000	0.24	3.82
PAL0304	11/27/2003	108	B	20	371000000	0.41	5.06
PAL0304	11/27/2003	108	B	40	538000000	0.31	3.8
PAL0304	11/27/2003	108	B	60	359000000	0.29	3.16
PAL0304	11/28/2003	109	E	0	314000000	0.33	4.03
PAL0304	11/28/2003	109	E	20	324000000	0.17	3.65
PAL0304	11/28/2003	109	E	40	330000000	0.32	4.65
PAL0304	11/28/2003	109	E	60	356000000	0.47	5.49
PAL0304	12/1/2003	115	B	0	283000000	0.11	1.08
PAL0304	12/1/2003	115	B	20	348000000	0.49	6.92
PAL0304	12/1/2003	115	B	40	362000000	0.36	4.17
PAL0304	12/1/2003	115	B	60	327000000	0.44	3.85
PAL0304	12/1/2003	114	E	0	259000000	0.16	1.84
PAL0304	12/1/2003	114	E	20	280000000	0.42	5.4
PAL0304	12/1/2003	114	E	40	287000000	0.34	4.47
PAL0304	12/1/2003	114	E	60	302000000	0.43	4.65
PAL0304	12/4/2003	124	B	0	323000000	0.47	4.61
PAL0304	12/4/2003	124	B	20	361000000	0.43	4.57
PAL0304	12/4/2003	124	B	40	349000000	0.46	4.18
PAL0304	12/4/2003	124	B	60	318000000	0.48	3.31
PAL0304	12/4/2003	123	E	0	276000000	0.94	5.61
PAL0304	12/4/2003	123	E	20	289000000	0.39	5.54
PAL0304	12/4/2003	123	E	40	340000000	0.5	5.07
PAL0304	12/4/2003	123	E	60	316000000	0.69	3.59
PAL0304	12/8/2003	134	B	0	383000000	0.13	0.63
PAL0304	12/8/2003	134	B	20	533000000	0.41	5.08
PAL0304	12/8/2003	134	B	40	415000000	0.3	4.2
PAL0304	12/8/2003	134	B	60	430000000	0.26	3.89
PAL0304	12/8/2003	133	E	0	324000000	0.29	2.59
PAL0304	12/8/2003	133	E	20	409000000	0.5	7.12
PAL0304	12/8/2003	133	E	40	504000000	0.71	7.24
PAL0304	12/8/2003	133	E	60	490000000	0.58	5.54
PAL0304	12/11/2003	168	B	0	477000000	0.4	3.41
PAL0304	12/11/2003	168	B	20	651000000	0.47	3.42
PAL0304	12/11/2003	168	B	40	590000000	0.41	3.8
PAL0304	12/11/2003	168	B	60	511000000	0.4	2.86
PAL0304	12/11/2003	167	E	0	373000000	0.52	4.5
PAL0304	12/11/2003	167	E	20	459000000	0.44	5.08
PAL0304	12/11/2003	167	E	40	563000000	0.36	5.25
PAL0304	12/11/2003	167	E	60	379000000	0.26	2.53
PAL0304	12/15/2003	166	B	0	510000000	0.2	1.6
PAL0304	12/15/2003	166	B	20	585000000	0.41	4.01
PAL0304	12/15/2003	166	B	40	539000000	0.27	2.55
PAL0304	12/15/2003	166	B	60	494000000	0.27	2.13
PAL0304	12/15/2003	165	E	0	542000000	0.45	4.51
PAL0304	12/15/2003	165	E	20	603000000	0.16	2.4
PAL0304	12/15/2003	165	E	40	504000000	0.21	2.11
PAL0304	12/15/2003	165	E	60	471000000	0.16	1.96
PAL0304	12/18/2003	178	B	0	777000000	0.84	11.37
PAL0304	12/18/2003	178	B	20	944000000	0.72	6.63
PAL0304	12/18/2003	178	B	40	691000000	0.63	4.71
PAL0304	12/18/2003	178	B	60	485000000	0.2	1.48
PAL0304	12/19/2003	183	E	0	851000000	0.46	2.9
PAL0304	12/19/2003	183	E	20	815000000	0.51	4.89
PAL0304	12/19/2003	183	E	40	620000000	0.25	1.76
PAL0304	12/19/2003	183	E	60	478000000	0.24	1.73
PAL0304	12/22/2003	197	B	0	829000000	0.86	9.37
PAL0304	12/22/2003	197	B	20	1090000000	3.11	18.89
PAL0304	12/22/2003	197	B	40	824000000	0.9	7.17
PAL0304	12/22/2003	197	B	60	734000000	0.54	4.24
PAL0304	12/22/2003	196	E	0	711000000	1.64	13.89
PAL0304	12/22/2003	196	E	20	722000000	1.24	19.93
PAL0304	12/22/2003	196	E	40	647000000	0.79	10.46
PAL0304	12/22/2003	196	E	60	634000000	0.78	5.68
PAL0304	12/26/2003	207	B	0	748000000	1.91	24.68
PAL0304	12/26/2003	207	B	20	793000000	2.05	26.35
PAL0304	12/26/2003	207	B	40	664000000	2.29	17.98
PAL0304	12/26/2003	207	B	60	489000000	1.29	11.98
PAL0304	12/26/2003	206	E	0	583000000	1.18	12.78
PAL0304	12/26/2003	206	E	20	594000000	0.92	13.82
PAL0304	12/26/2003	206	E	40	548000000	0.84	9.78
PAL0304	12/26/2003	206	E	60	450000000	0.87	8.51
PAL0304	12/30/2003	231	B	0	910000000	2.73	32.76
PAL0304	12/30/2003	231	B	20	896000000	2.21	21.4
PAL0304	12/30/2003	231	B	40	660000000	1.42	11.82
PAL0304	12/30/2003	231	B	60	640000000	1.2	9.88
PAL0304	12/30/2003	230	E	0	493000000	1.86	14.02
PAL0304	12/30/2003	230	E	20	677000000	0.99	8.57
PAL0304	12/30/2003	230	E	40	567000000	0.72	6.45
PAL0304	12/30/2003	230	E	60	575000000	0.65	4.63
PAL0304	1/2/2004	246	B	0	447000000	1.27	16.63
PAL0304	1/2/2004	246	B	20	566000000	1.44	12.11
PAL0304	1/2/2004	246	B	40	640000000	1.17	7.86
PAL0304	1/2/2004	246	B	60	619000000	0.89	6.48
PAL0304	1/2/2004	245	E	0	506000000	2.01	31.86
PAL0304	1/2/2004	245	E	20	584000000	1.46	11.08
PAL0304	1/2/2004	245	E	40	780000000	0.93	9.41
PAL0304	1/2/2004	245	E	60	595000000	0.5	4.68
PAL0304	1/9/2004	257	B	0	755000000	1.9	20.64
PAL0304	1/9/2004	257	B	20	760000000	1.67	11.89
PAL0304	1/9/2004	257	B	50	563000000	0.61	4.6
PAL0304	1/9/2004	256	E	0	677000000	0.96	17.1
PAL0304	1/9/2004	256	E	20	657000000	0.51	5.68
PAL0304	1/9/2004	256	E	50	586000000	0.49	3.48
PAL0304	1/12/2004	262	B	0	660000000	0.88	12.89
PAL0304	1/12/2004	262	B	20	624000000	0.69	4.58
PAL0304	1/12/2004	262	B	50	491000000	0.4	2.95
PAL0304	1/12/2004	261	E	0	474000000	0.36	7.64
PAL0304	1/12/2004	261	E	20	536000000	0.52	5.56
PAL0304	1/12/2004	261	E	50	494000000	0.29	2.12
PAL0304	1/15/2004	266	B	0	767000000	0.64	8.34
PAL0304	1/15/2004	266	B	30	555000000	0.39	2.8
PAL0304	1/15/2004	266	B	50	415000000	0.26	1.87
PAL0304	1/15/2004	265	E	0	405000000	0.35	3.95
PAL0304	1/15/2004	265	E	30	495000000	0.31	3.56
PAL0304	1/15/2004	265	E	50	460000000	0.21	3.68
PAL0304	1/19/2004	270	B	0	490000000	0.5	14.64
PAL0304	1/19/2004	270	B	20	596000000	0.85	21.16
PAL0304	1/19/2004	270	B	50	529000000	0.48	9.16
PAL0304	1/19/2004	269	E	0	644000000	0.49	23.61
PAL0304	1/19/2004	269	E	20	554000000	0.53	21.01
PAL0304	1/19/2004	269	E	50	475000000	0.13	4.39
PAL0304	1/23/2004	275	B	0	568000000	0.46	14.46
PAL0304	1/23/2004	275	B	20	587000000	0.59	13.95
PAL0304	1/23/2004	275	B	50	576000000	0.33	5.63
PAL0304	1/23/2004	274	E	0	677000000	0.75	22.35
PAL0304	1/23/2004	274	E	20	605000000	0.47	10.07
PAL0304	1/23/2004	274	E	50	467000000	0.27	5.83
PAL0304	1/26/2004	278	B	0	506000000	0.07	8.43
PAL0304	1/26/2004	278	B	20	568000000	0.23	7.06
PAL0304	1/26/2004	278	B	50	469000000	0.18	5.77
PAL0304	1/26/2004	277	E	0	629000000	0.4	16.45
PAL0304	1/26/2004	277	E	20	530000000	0.47	10.48
PAL0304	1/26/2004	277	E	50	493000000	0.3	6.53
PAL0304	1/29/2004	282	B	0	485000000	1.03	26.91
PAL0304	1/29/2004	282	B	20	626000000	0.69	13.65
PAL0304	1/29/2004	282	B	50	482000000	0.22	6.05
PAL0304	1/29/2004	281	E	0	520000000	0.75	24.61
PAL0304	1/29/2004	281	E	20	636000000	0.65	18.02
PAL0304	1/29/2004	281	E	50	481000000	0.26	5.21
PAL0304	2/5/2004	286	B	0	841000000	1.94	35.15
PAL0304	2/5/2004	285	E	0	635000000	1.01	25.01
PAL0304	2/6/2004	290	E	0	746000000	0.69	20.87
PAL0304	2/6/2004	290	E	15	611000000	1	18.43
PAL0304	2/6/2004	290	E	30	608000000	0.47	10.06
PAL0304	2/6/2004	290	E	60	676000000	0.37	7.15
PAL0304	2/9/2004	293	B	0	745000000	1.62	26.63
PAL0304	2/9/2004	293	B	10	956000000	1.8	23.61
PAL0304	2/9/2004	293	B	20	856000000	1.81	28.05
PAL0304	2/9/2004	293	B	50	765000000	0.82	12.92
PAL0304	2/9/2004	292	E	0	795000000	0.85	18.32
PAL0304	2/9/2004	292	E	10	768000000	1.05	22.89
PAL0304	2/9/2004	292	E	20	765000000	0.75	19.4
PAL0304	2/9/2004	292	E	50	644000000	0.51	6.18
PAL0304	2/12/2004	299	B	0	781000000	1.16	28.92
PAL0304	2/12/2004	299	B	10	720000000	1.5	25.94
PAL0304	2/12/2004	299	B	20	515000000	1.04	19.62
PAL0304	2/12/2004	299	B	50	417000000	0.27	6.1
PAL0304	2/12/2004	298	E	0	256000000	0.38	8.8
PAL0304	2/12/2004	298	E	10	447000000	0.41	10.82
PAL0304	2/12/2004	298	E	20	485000000	0.65	11.79
PAL0304	2/12/2004	298	E	50	491000000	0.41	7.57
PAL0304	2/16/2004	307	B	0	931000000	2.21	46.67
PAL0304	2/16/2004	307	B	10	631000000	1.73	44.33
PAL0304	2/16/2004	307	B	20	774000000	2.16	37.47
PAL0304	2/16/2004	307	B	50	615000000	1.19	20.75
PAL0304	2/16/2004	306	E	0	460000000	0.6	15.61
PAL0304	2/16/2004	306	E	10	426000000	0.68	17.55
PAL0304	2/16/2004	306	E	20	730000000	2.18	30.99
PAL0304	2/16/2004	306	E	50	559000000	0.77	9.67
PAL0304	2/19/2004	314	B	0	904000000	4.92	60.36
PAL0304	2/19/2004	314	B	10	912000000	3.65	45
PAL0304	2/19/2004	314	B	20	745000000	1.28	18.26
PAL0304	2/19/2004	314	B	50	422000000	0.5	6.61
PAL0304	2/19/2004	313	E	0	598000000	1.93	28.06
PAL0304	2/19/2004	313	E	10	710000000	2.41	32.73
PAL0304	2/19/2004	313	E	20	684000000	1.99	26.53
PAL0304	2/19/2004	313	E	50	362000000	0.32	3.04
PAL0304	2/23/2004	319	B	0	791000000	1.7	34.99
PAL0304	2/23/2004	319	B	10	642000000	1.65	32.39
PAL0304	2/23/2004	319	B	20	646000000	0.86	14.27
PAL0304	2/24/2004	326	E	0	1270000000	3.42	62.59
PAL0304	2/24/2004	326	E	10	1120000000	2.4	51.27
PAL0304	2/24/2004	326	E	20	806000000	1.55	18.51
PAL0304	2/24/2004	326	E	50	325000000	0.33	4.04
PAL0304	2/26/2004	334	B	0	653000000	0.38	14.19
PAL0304	2/26/2004	334	B	10	605000000	1.19	23.34
PAL0304	2/26/2004	334	B	20	639000000	0.92	14.25
PAL0304	2/26/2004	334	B	50	363000000	0.33	4.57
PAL0304	2/26/2004	333	E	0	517000000	0.89	21.18
PAL0304	2/26/2004	333	E	10	-999	1.29	23.91
PAL0304	2/26/2004	333	E	20	810000000	1.41	25.37
PAL0304	2/26/2004	333	E	50	992000000	0.19	3.62
PAL0304	3/1/2004	337	B	0	730000000	1.77	3.94
PAL0304	3/1/2004	337	B	10	549000000	1.17	3.98
PAL0304	3/1/2004	337	B	20	881000000	1.04	2.05
PAL0304	3/1/2004	337	B	50	946000000	1.11	3.12
PAL0304	3/1/2004	336	E	0	540000000	1.39	26.29
PAL0304	3/1/2004	336	E	10	1050000000	0.86	16.78
PAL0304	3/1/2004	336	E	20	458000000	0.9	13.02
PAL0304	3/1/2004	336	E	50	590000000	0.56	8.18
PAL0304	3/4/2004	347	B	0	477000000	1.07	27.34
PAL0304	3/4/2004	347	B	10	571000000	0.9	23.73
PAL0304	3/4/2004	347	B	20	614000000	0.92	17.63
PAL0304	3/4/2004	347	B	50	715000000	0.46	7.59
PAL0304	3/4/2004	346	E	0	544000000	1.01	21.83
PAL0304	3/4/2004	346	E	10	559000000	0.93	19.29
PAL0304	3/4/2004	346	E	20	688000000	0.43	7.57
PAL0304	3/4/2004	346	E	50	572000000	0.36	4.7
PAL0304	3/10/2004	356	B	0	753000000	0.86	19.93
PAL0304	3/10/2004	356	B	10	680000000	0.8	16.48
PAL0304	3/10/2004	356	B	20	597000000	0.67	12.35
PAL0304	3/10/2004	356	B	50	522000000	0.35	5.9
PAL0304	3/10/2004	355	E	0	1010000000	1.36	24.92
PAL0304	3/10/2004	355	E	10	1060000000	1.33	26.43
PAL0304	3/10/2004	355	E	20	841000000	0.86	16
PAL0304	3/10/2004	355	E	50	585000000	0.42	8.29
PAL0304	3/14/2004	366	B	0	555000000	0.93	17.55
PAL0304	3/14/2004	365	E	0	829000000	0.69	14.01
PAL0304	3/15/2004	368	B	0	460000000	0.68	15.48
PAL0304	3/15/2004	368	B	10	741000000	0.6	13.92
PAL0304	3/15/2004	368	B	20	757000000	0.56	11.75
PAL0304	3/15/2004	368	B	50	490000000	0.31	4.81
PAL0304	3/15/2004	367	E	0	788000000	0.98	20.47
PAL0304	3/15/2004	367	E	10	731000000	0.91	18.18
PAL0304	3/15/2004	367	E	20	777000000	0.84	17.7
PAL0304	3/15/2004	367	E	50	594000000	0.42	6.73
PAL0304	3/18/2004	375	B	0	510000000	0.6	14.95
PAL0304	3/18/2004	375	B	10	731000000	0.55	14.78
PAL0304	3/18/2004	375	B	20	680000000	0.61	10.01
PAL0304	3/18/2004	375	B	50	433000000	0.11	3.63
PAL0304	3/18/2004	376	E	0	711000000	0.52	14.43
PAL0304	3/18/2004	376	E	10	666000000	0.42	10.42
PAL0304	3/18/2004	376	E	20	747000000	0.39	8.41
PAL0304	3/18/2004	376	E	50	545000000	0.12	3.48
PAL0304	3/22/2004	381	B	0	557000000	0.52	16.12
PAL0304	3/22/2004	381	B	10	761000000	0.38	11.44
PAL0304	3/22/2004	381	B	20	673000000	0.31	9.64
PAL0304	3/22/2004	381	B	50	547000000	0.15	5.43
PAL0304	3/22/2004	380	E	0	890000000	0.59	14.04
PAL0304	3/22/2004	380	E	10	796000000	0.46	13.2
PAL0304	3/22/2004	380	E	20	698000000	0.53	9.82
PAL0304	3/22/2004	380	E	50	612000000	0.49	6.36
PAL0304	3/25/2004	387	B	0	678000000	0.3	12.17
PAL0304	3/25/2004	387	B	10	744000000	0.32	10.72
PAL0304	3/25/2004	387	B	20	764000000	0.46	13.41
PAL0304	3/25/2004	387	B	50	592000000	0.44	10.25
PAL0304	3/25/2004	386	E	0	704000000	0.38	11.8
PAL0304	3/25/2004	386	E	10	740000000	0.31	11.24
PAL0304	3/25/2004	386	E	20	664000000	0.36	10.81
PAL0304	3/25/2004	386	E	50	560000000	0.25	9.5
PAL0304	3/30/2004	394	B	0	690000000	0.12	8.96
PAL0304	3/30/2004	394	B	10	686000000	0.34	10.68
PAL0304	3/30/2004	394	B	20	616000000	0.29	9.36
PAL0304	3/30/2004	394	B	50	556000000	0.25	7.05
PAL0304	3/30/2004	393	E	0	638000000	0.13	6.21
PAL0304	3/30/2004	393	E	10	643000000	0.23	7.69
PAL0304	3/30/2004	393	E	20	643000000	0.23	7.88
PAL0304	3/30/2004	393	E	50	626000000	0.2	7.1
PAL0405	11/8/2004	26	B	0	220000000	0.07	8.73
PAL0405	11/8/2004	26	B	15	224000000	0.18	5
PAL0405	11/17/2004	37	B	0	204000000	0.12	6.37
PAL0405	11/17/2004	37	B	10	202000000	0.24	6.1
PAL0405	11/17/2004	37	B	20	217000000	0.23	5.73
PAL0405	11/17/2004	37	B	30	207000000	0.11	1.53
PAL0405	11/18/2004	40	E	0	237000000	0.2	4.49
PAL0405	11/18/2004	40	E	10	266000000	0.18	4.97
PAL0405	11/18/2004	40	E	20	199000000	0.19	2.87
PAL0405	11/18/2004	40	E	50	234000000	0.29	4.81
PAL0405	11/24/2004	49	E	0	313000000	0.26	7.68
