clade,organism_name
95,Jannaschia sp. CCS1 
96,Celeribacter marinus 
99,Celeribacter indicus 
104,Parvularcula bermudensis HTCC2503 
105,Parvibaculum lavamentivorans DS-1 
107,Magnetospirillum magneticum AMB-1
108,Magnetospirillum gryphiswaldense MSR-1 v2 
110,Rickettsiales bacterium Ac37b 
111,Orientia tsutsugamushi str. Boryong 
112,Orientia tsutsugamushi str. Ikeda 
114,Rickettsia massiliae MTU5 
115,Rickettsia akari str. Hartford 
116,Rickettsia australis str. Cutlack 
118,Rickettsia felis URRWXCal2 
120,Rickettsia bellii OSU 85-389 
121,Rickettsia bellii RML369-C 
124,Candidatus Rickettsia amblyommii str. GAT-30V 
125,Rickettsia monacensis
128,Rickettsia canadensis str. McKiel 
129,Rickettsia canadensis str. CA410 
131,Rickettsia montanensis str. OSU 85-930 
133,Rickettsia rhipicephali str. 3-7-female6-CWPP 
135,Rickettsia heilongjiangensis 054 
136,Rickettsia japonica YH
138,Rickettsia slovaca 13-B 
139,Rickettsia conorii str. Malish 7 
140,Rickettsia africae ESF-5 
141,Rickettsia parkeri str. Portsmouth 
144,@GCF 000017445.4 Rickettsia rickettsii str. Iowa 
145,Rickettsia rickettsii str. Hlp#2 
152,Rickettsia prowazekii str. Rp22 
153,Rickettsia typhi str. Wilmington 
159,Neorickettsia helminthoeca str. Oregon 
160,Neorickettsia risticii str. Illinois 
161,Neorickettsia sennetsu str. Miyayama 
164,Ehrlichia ruminantium str. Gardel 
165,Ehrlichia ruminantium str. Welgevonden 
166,Ehrlichia ruminantium str. Welgevonden 
169,Ehrlichia canis str. Jake 
170,Ehrlichia chaffeensis str. Arkansas 
171,Ehrlichia muris AS145 
172,Ehrlichia sp. HF 
177,Anaplasma phagocytophilum str. HZ 
178,Anaplasma phagocytophilum str. Norway variant2 
180,Anaplasma centrale str. Israel 
181,Anaplasma marginale str. St. Maries 
182,Anaplasma marginale str. Florida 
187,Wolbachia endosymbiont of Onchocerca volvulus str. Cameroon 
188,Wolbachia endosymbiont of Onchocerca ochengi 
190,Wolbachia endosymbiont 
191,Wolbachia endosymbiont of Drosophila simulans wNo 
192,Wolbachia endosymbiont of Drosophila simulans wHa 
193,Wolbachia endosymbiont of Drosophila melanogaster 
194,Wolbachia sp. wRi 
198,Wolbachia endosymbiont of Cimex lectularius
204,endosymbiont of Acanthamoeba sp. UWC8
205,Candidatus Midichloria mitochondrii IricVA 
209,alpha proteobacterium HIMB59 
210,Candidatus Pelagibacter ubique HTCC1062 
211,alpha proteobacterium HIMB5 
213,Candidatus Pelagibacter sp. IMCC9063 
216,Candidatus Paracaedibacter acanthamoebae
219,Tistrella mobilis KA081020-065 
220,Asaia bogorensis NBRC 16594 
221,Gluconacetobacter diazotrophicus PA1 5 
222,Gluconacetobacter diazotrophicus PA1 5 
224,Komagataeibacter medellinensis NBRC 3288
225,Komagataeibacter xylinus E25 
228,Acidiphilium cryptum JF-5 
229,Granulibacter bethesdensis CGDNIH1 
233,Acetobacter senegalensis 
234,Acetobacter pasteurianus 
235,Acetobacter sp. SLV-7 
236,Acetobacter pasteurianus IFO 3283-01
241,Gluconobacter oxydans H24 
242,Gluconobacter oxydans DSM 3504
243,Gluconobacter oxydans 621H 
247,Magnetococcus marinus MC-1 
248,Desulfurispirillum indicum S5 
249,Flexistipes sinusarabici DSM 4947 
250,Deferribacter desulfuricans SSM1
252,Calditerrivibrio nitroreducens DSM 19672 
253,Denitrovibrio acetiphilus DSM 12809 
257,Chloroherpeton thalassium ATCC 35110 
258,Chlorobium phaeobacteroides BS1 
259,Prosthecochloris aestuarii DSM 271 
261,Chlorobium chlorochromatii CaD3 
262,Pelodictyon phaeoclathratiforme BU-1 
263,Chlorobium phaeobacteroides DSM 266 
265,Chlorobium limicola DSM 245 
266,Chlorobium tepidum TLS 
267,Chlorobaculum parvum NCIB 8327 
269,Chlorobium luteolum DSM 273 
271,Chlorobium phaeovibrioides DSM 265 
278,Flexibacter litoralis DSM 6794 
279,Haliscomenobacter hydrossis DSM 1100 
280,Saprospira grandis str. Lewin 
282,Chitinophaga pinensis DSM 2588 
283,Niabella soli DSM 19437 
284,Niastella koreensis GR20-10 
289,Pseudopedobacter saltans DSM 12145 
290,Sphingobacterium sp. ML3W 
291,Sphingobacterium sp. 21 
293,Pedobacter sp. PACM 27299 
294,Pedobacter heparinus DSM 2366 
298,Solitalea canadensis DSM 3403 
300,Draconibacterium orientale 
301,bacterium L21-Spi-D4 
302,Odoribacter splanchnicus DSM 20712 
305,Paludibacter propionicigenes WB4 
306,Tannerella forsythia 92A2 
307,Porphyromonas asaccharolytica DSM 20707 
308,Porphyromonas gingivalis ATCC 33277
309,Porphyromonas gingivalis TDC60
310,Porphyromonas gingivalis AJW4 
311,Porphyromonas gingivalis W83 
314,Porphyromonas gingivalis A7A1-28
319,Parabacteroides distasonis ATCC 8503 
320,Barnesiella viscericola DSM 18177 
323,Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2
324,Bacteroides fragilis 
325,Bacteroides fragilis 638R 
326,Bacteroides fragilis NCTC 9343
328,Bacteroides fragilis
329,Bacteroides fragilis YCH46 
333,Bacteroides thetaiotaomicron VPI-5482 
334,Bacteroides thetaiotaomicron 
336,Bacteroides cellulosilyticus 
337,Bacteroides vulgatus ATCC 8482 
338,Bacteroides dorei CL03T12C01 
340,Bacteroides salanitronis DSM 18170 
342,Prevotella ruminicola 23 
343,Prevotella intermedia 17 
344,Prevotella melaninogenica ATCC 25845 
345,Prevotella fusca JCM 17724 
346,Prevotella dentalis DSM 3688 
347,Prevotella denticola F0289 
352,Prevotella sp. oral taxon 299 str. F0039 
353,Prevotella enoeca 
358,Bacteroides helcogenes P 36-108 
361,Bacteroides ovatus 
368,Fermentimonas caenicola
370,Mucinivorans hirudinis
371,Alistipes finegoldii DSM 17242 
373,Bacteroidales bacterium CF 
377,Flavobacterium indicum GPTSA100-9   DSM 17447 
378,Flavobacterium psychrophilum 
380,Myroides odoratimimus 
381,Myroides profundi 
383,Flavobacterium columnare 
384,Flavobacterium columnare 
386,Flavobacterium columnare ATCC 49512 
388,Flavobacterium johnsoniae UW101 
389,Flavobacterium psychrophilum JIP02/86 
390,Flavobacterium psychrophilum FPG3 
392,Flavobacterium branchiophilum FL-15 
398,Capnocytophaga canimorsus Cc5 
399,Capnocytophaga sp. oral taxon 323 
400,Capnocytophaga ochracea DSM 7271 
403,Cellulophaga lytica DSM 7489 
404,Nonlabens dokdonensis DSW-6
405,Nonlabens sp. MIC269 
407,Psychroflexus torquis ATCC 700755 
408,Gramella forsetii KT0803 
409,Zunongwangia profunda SM-A87 
413,Algibacter alginolytica 
414,Winogradskyella sp. PG-2 
415,Lacinutrix sp. 5H-3-7-4 
417,Siansivirga zeaxanthinifaciens CC-SAMT-1
421,Polaribacter sp. MED152 
422,Tenacibaculum dicentrarchi 
424,Dokdonia sp. MED134 
425,Dokdonia sp. 4H-3-7-5 
430,Sediminicola sp. YIK13 
431,Cellulophaga baltica 18 
432,Cellulophaga algicola DSM 14237 
434,Maribacter sp. HTCC2170 
435,Zobellia galactanivorans 
437,Muricauda ruestringensis DSM 13258 
438,Muricauda lutaonensis 
440,Robiginitalea biformata HTCC2501 
447,Croceibacter atlanticus HTCC2559 
448,Aequorivita sublithincola DSM 14238 
452,Ornithobacterium rhinotracheale DSM 15997 
453,Ornithobacterium rhinotracheale ORT-UMN 88 
455,Weeksella virosa DSM 16922 
456,Riemerella anatipestifer RA-CH-1 
457,Riemerella anatipestifer RA-GD 
458,Riemerella anatipestifer ATCC 11845   DSM 15868 
460,Riemerella anatipestifer RA-CH-2 
463,Chryseobacterium sp. IHB B 17019 
464,Chryseobacterium sp. StRB126 
465,Chryseobacterium gallinarum 
468,Flavobacteriaceae bacterium 3519-10 
471,Elizabethkingia sp. BM10 
472,Elizabethkingia meningoseptica FMS-007 
473,Elizabethkingia anophelis NUHP1 
479,Blattabacterium sp.  Mastotermes darwiniensis  str. MADAR 
480,Blattabacterium sp.  Cryptocercus punctulatus  str. Cpu 
481,Blattabacterium sp.  Blatta orientalis  str. Tarazona 
482,Blattabacterium sp.  Periplaneta americana  str. BPLAN 
484,Blattabacterium sp.  Blattella germanica  str. Bge 
485,Blattabacterium sp.  Blaberus giganteus  
486,Blattabacterium sp.  Nauphoeta cinerea 
488,Blattabacterium sp.  Panesthia angustipennis spadica  str. BPAA 
494,endosymbiont of Llaveia axin axin
497,Fluviicola taffensis DSM 16823 
500,Owenweeksia hongkongensis DSM 17368 
504,Flammeovirgaceae bacterium 311
505,Marivirga tractuosa DSM 4126 
507,Echinicola vietnamensis DSM 17526 
508,Belliella baltica DSM 15883 
509,Cyclobacterium amurskyense 
510,Cyclobacterium marinum DSM 745 
515,Cardinium endosymbiont cEper1 of Encarsia pergandiella 
516,Candidatus Amoebophilus asiaticus 5a2 
519,Persicobacter sp. JZB09 
520,Hymenobacter swuensis DY53 
521,Hymenobacter sp. APR13 
523,Hymenobacter sp. DG25A 
524,Hymenobacter sp. DG25B 
527,Rufibacter tibetensis 
528,Rufibacter sp. DG31D 
530,Pontibacter korlensis 
534,Cytophaga hutchinsonii ATCC 33406 
535,Spirosoma radiotolerans 
536,Runella slithyformis DSM 19594 
537,Dyadobacter fermentans DSM 18053 
539,Leadbetterella byssophila DSM 17132 
540,Emticicia oligotrophica DSM 17448 
549,Rhodothermus marinus DSM 4252 
550,Rhodothermus marinus SG0.5JP17-172 
552,Salinibacter ruber M8 
553,Salinibacter ruber DSM 13855 
557,Ignavibacterium album JCM 16511 
558,Melioribacter roseus P3M-2 
562,Candidatus Babela massiliensis 
564,Turneriella parva DSM 21527 
565,Leptospira biflexa serovar Patoc 
566,Leptospira biflexa serovar Patoc 
568,Leptospira interrogans serovar Manilae 
569,Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130 
570,Leptospira interrogans serovar Manilae 
573,Leptospira borgpetersenii serovar Hardjo-bovis str. L550 
574,Leptospira borgpetersenii serovar Ballum 
576,Leptospira santarosai serovar Shermani str. LT 821 
581,Brachyspira pilosicoli 95/1000 
582,Brachyspira pilosicoli B2904 
584,Brachyspira intermedia PWS/A 
585,Brachyspira murdochii DSM 12563 
586,Brachyspira hyodysenteriae WA1 
590,Spirochaeta thermophila DSM 6578 
591,Spirochaeta thermophila DSM 6192 
593,Sphaerochaeta coccoides DSM 17374 
594,Sphaerochaeta globosa str. Buddy 
595,Sphaerochaeta pleomorpha str. Grapes 
598,Spirochaeta smaragdinae DSM 11293 
600,Treponema sp. OMZ 838 
601,Treponema paraluiscuniculi Cuniculi A 
602,Treponema pallidum subsp. pallidum str. Nichols 
604,Treponema denticola ATCC 35405 
605,Treponema putidum 
607,Treponema pedis str. T A4 
611,Treponema succinifaciens DSM 2489 
612,Treponema brennaborense DSM 12168 
615,Treponema azotonutricium ZAS-9 
616,Treponema primitia ZAS-2 
618,Treponema caldarium DSM 7334 
621,Borrelia parkeri HR1 
622,Borrelia turicatae 91E135 
624,Borrelia hermsii CC1 
625,@GCF 000445425.4 Borrelia miyamotoi LB-2001 
628,Borrelia duttonii Ly 
629,Borrelia recurrentis A1 
632,Borreliella bavariensis PBi 
633,Borrelia garinii BgVir 
634,Borrelia garinii NMJW1 
637,Borreliella bissettii DN127 
638,Borrelia burgdorferi B31 
639,Borrelia burgdorferi N40 
640,Borrelia burgdorferi ZS7 
645,Borreliella valaisiana Tom4006 
646,Borrelia afzelii HLJ01 
647,Borrelia afzelii PKo 
648,Borrelia afzelii Tom3107 
655,Salinispira pacifica 
656,Spirochaeta africana DSM 8902 
663,Candidatus Cloacimonas acidaminovorans str. Evry 
666,Fibrobacter succinogenes subsp. succinogenes S85 
667,Fibrobacter succinogenes subsp. succinogenes S85 
669,Gemmatimonas aurantiaca T-27
672,Gloeobacter kilaueensis JS1 
673,Gloeobacter violaceus PCC 7421 
675,Geitlerinema sp. PCC 7407 
676,Cyanothece sp. PCC 8801 
677,cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko
678,Candidatus Atelocyanobacterium thalassa isolate ALOHA 
679,Cyanothece sp. ATCC 51142 
683,Synechocystis sp. PCC 6803
684,Synechocystis sp. PCC 6714 
686,Cyanobacterium aponinum PCC 10605 
687,Leptolyngbya sp. PCC 7376 
688,Synechococcus sp. PCC 73109 
689,Synechococcus sp. PCC 7002 
695,Dactylococcopsis salina PCC 8305 
696,Halothece sp. PCC 7418 
698,Microcystis panniformis FACHB-1757 
699,Microcystis aeruginosa NIES-843
700,Microcystis aeruginosa NIES-2549 
704,Pleurocapsa sp. PCC 7327 
705,Cyanothece sp. PCC 7424 
706,Cyanothece sp. PCC 7822 
711,Stanieria cyanosphaera PCC 7437 
713,Oscillatoria acuminata PCC 6304 
714,Trichodesmium erythraeum IMS101 
715,Oscillatoria nigro-viridis PCC 7112 
719,Gloeocapsa sp. PCC 7428 
720,Chroococcidiopsis thermalis PCC 7203 
722,Nostoc punctiforme PCC 73102 
723,Nostoc sp. PCC 7524 
724,Nostoc sp. PCC 7120
725,Nostoc sp. PCC 7107 
729, Nostoc azollae  0708 
730,Anabaena sp. 90 
731,Anabaena sp. wa102 
733,Anabaena cylindrica PCC 7122 
737,Calothrix sp. PCC 7507 
739,Rivularia sp. PCC 7116 
740,Fischerella sp. NIES-3754
741,Calothrix sp. 336/3 
744,Calothrix sp. PCC 6303 
748,Crinalium epipsammum PCC 9333 
749,Microcoleus sp. PCC 7113 
754,Cyanobium gracile PCC 6307 
755,Prochlorococcus marinus subsp. marinus str. CCMP1375 
756,Prochlorococcus marinus subsp. pastoris str. CCMP1986 
757,Prochlorococcus marinus str. MIT 9515 
759,Prochlorococcus marinus str. AS9601 
760,Prochlorococcus marinus str. MIT 9301 
761,Prochlorococcus sp. MIT 0604 
762,Prochlorococcus marinus str. MIT 9215 
765,Prochlorococcus marinus str. MIT 9312 
769,Prochlorococcus marinus str. NATL1A 
770,Prochlorococcus sp. MIT 0801 
771,Prochlorococcus marinus str. NATL2A 
776,Prochlorococcus marinus str. MIT 9313 
778,Prochlorococcus marinus str. MIT 9303 
780,Synechococcus sp. WH 7803
781,Synechococcus sp. KORDI-100 
783,Synechococcus sp. CC9311 
784,Synechococcus sp. CC9605 
785,Synechococcus sp. CC9902 
787,Synechococcus sp. KORDI-49 
789,Synechococcus sp. KORDI-52 
790,Synechococcus sp. WH 8103
797,Synechococcus sp. RCC307
799,Synechococcus elongatus PCC 6301
801,Synechococcus sp. PCC 6312 
802,Thermosynechococcus elongatus BP-1
805,Acaryochloris marina MBIC11017 
806,Cyanothece sp. PCC 7425 
810,Synechococcus sp. PCC 7502 
811,Pseudanabaena sp. PCC 7367 
814,Synechococcus sp. JA-3-3Ab 
815,Synechococcus sp. JA-2-3B a 2-13  
819,Dehalogenimonas lykanthroporepellens BL-DC-9 
820,Dehalogenimonas sp. WBC-2 
822,Dehalococcoides mccartyi CBDB1 
823,Dehalococcoides mccartyi BAV1 
825,Dehalococcoides mccartyi 195 
826,Dehalococcoides sp. UCH007 
827,Dehalococcoides mccartyi VS 
828,Dehalococcoides mccartyi GY50 
834,Caldilinea aerophila DSM 14535   NBRC 104270
835,Anaerolinea thermophila UNI-1
838,Chloroflexus aurantiacus J-10-fl 
839,Chloroflexus aggregans DSM 9485 
841,Roseiflexus castenholzii DSM 13941 
842,Roseiflexus sp. RS-1 
845,Thermomicrobium roseum DSM 5159 
846,Sphaerobacter thermophilus DSM 20745 
849,Thermobaculum terrenum ATCC BAA-798 
852,Candidatus Saccharibacteria bacterium RAAC3 TM7 1
853,Candidatus Saccharibacteria oral taxon TM7x 
857,Caldanaerobacter subterraneus subsp. tengcongensis MB4 
858,Thermoanaerobacter mathranii subsp. mathranii str. A3 
859,Thermoanaerobacter italicus Ab9 
861,Thermoanaerobacter wiegelii Rt8.B1 
862,Thermoanaerobacter kivui 
864,Thermoanaerobacter sp. X514 
865,Thermoanaerobacter brockii subsp. finnii Ako-1 
870,Coprothermobacter proteolyticus DSM 5265 
871,Caldisericum exile AZM16c01
873,Thermovirga lienii DSM 17291 
874,Aminobacterium colombiense DSM 12261 
875,Thermanaerovibrio acidaminovorans DSM 6589 
878,Anaerobaculum mobile DSM 13181 
881,
882,
884,Kosmotoga pacifica 
886,Marinitoga piezophila KA3 
887,Defluviitoga tunisiensis
888,Petrotoga mobilis SJ95 
892,Fervidobacterium nodosum Rt17-B1 
893,Fervidobacterium pennivorans DSM 9078 
894,Fervidobacterium pennivorans 
896,Fervidobacterium islandicum 
899,Thermosipho africanus TCF52B 
900,Thermosipho melanesiensis BI429 
903,Thermotoga naphthophila RKU-10 
904,Thermotoga petrophila RKU-1 
905,Thermotoga sp. RQ7 
906,Thermotoga neapolitana DSM 4359 
908,Thermotoga sp. Cell2 
909,Thermotoga sp. RQ2 
911,Thermotoga maritima MSB8 
912,Thermotoga maritima MSB8 
913,Thermotoga maritima 
920,Pseudothermotoga thermarum DSM 5069 
921,Thermotoga caldifontis AZM44c09 
922,Pseudothermotoga hypogea DSM 11164   NBRC 106472 
924,Thermotoga profunda AZM34c06 
925,Pseudothermotoga elfii DSM 9442   NBRC 107921 
926,Pseudothermotoga lettingae TMO 
935,Tepidanaerobacter acetatoxydans Re1 
936,Thermosediminibacter oceani DSM 16646 
938,Thermodesulfobium narugense DSM 14796 
939,Ammonifex degensii KC4 
940,Candidatus Desulforudis audaxviator MP104C 
946,Thermaerobacter marianensis DSM 12885 
947,Thermovibrio ammonificans HB-1 
948,Desulfurobacterium thermolithotrophum DSM 11699 
950,Hydrogenobaculum sp. Y04AAS1 
951,Hydrogenobaculum sp. SHO 
952,Hydrogenobaculum sp. 3684 
955,Aquifex aeolicus VF5 
956,Thermocrinis albus DSM 14484 
958,Thermocrinis ruber 
960,Hydrogenobacter thermophilus TK-6
961,Hydrogenobacter thermophilus TK-6 
965,Persephonella marina EX-H1 
966,Sulfurihydrogenibium azorense Az-Fu1 
967,Sulfurihydrogenibium sp. YO3AOP1 
972,Thermodesulfatator indicus DSM 15286 
973,Thermodesulfobacterium commune DSM 2178 
974,Thermodesulfobacterium geofontis OPF15 
978,Truepera radiovictrix DSM 17093 
979,Deinococcus peraridilitoris DSM 19664 
980,Deinococcus maricopensis DSM 21211 
981,Deinococcus geothermalis DSM 11300 
982,Deinococcus proteolyticus MRP 
983,Deinococcus radiodurans R1 
984,Deinococcus deserti VCD115 
985,Deinococcus puniceus 
987,Deinococcus actinosclerus 
988, Deinococcus soli  Cha et al. 2014 
990,Deinococcus swuensis 
994,Deinococcus gobiensis I-0 
1001,Oceanithermus profundus DSM 14977 
1002,Marinithermus hydrothermalis DSM 14884 
1004,Meiothermus silvanus DSM 9946
1005,Meiothermus ruber DSM 1279 
1007,Thermus oshimai JL-2 
1008,Thermus thermophilus HB27 
1009,Thermus thermophilus HB8 
1010,Thermus parvatiensis
1011,Thermus thermophilus SG0.5JP17-16 
1013,Thermus thermophilus JL-18 
1017,Thermus scotoductus SA-01 
1018,Thermus sp. CCB US3 UF1 
1020,Thermus aquaticus Y51MC23 
1029,Dictyoglomus turgidum DSM 6724 
1030,Dictyoglomus thermophilum H-6-12 
1032,Caldicellulosiruptor owensensis OL 
1033,Caldicellulosiruptor obsidiansis OB47 
1034,Caldicellulosiruptor lactoaceticus 6A 
1035,Caldicellulosiruptor kristjanssonii I77R1B 
1039,Caldicellulosiruptor hydrothermalis 108 
1040,Caldicellulosiruptor saccharolyticus DSM 8903 
1041,Caldicellulosiruptor bescii DSM 6725 
1043,Caldicellulosiruptor kronotskyensis 2002 
1050,Carboxydothermus hydrogenoformans Z-2901 
1051,Thermacetogenium phaeum DSM 12270 
1053,Moorella thermoacetica 
1054,Moorella thermoacetica ATCC 39073 
1056,Syntrophomonas wolfei subsp. wolfei str. Goettingen G311 
1057,Syntrophothermus lipocalidus DSM 12680 
1062,Thermoanaerobacterium thermosaccharolyticum M0795 
1063,Thermoanaerobacterium thermosaccharolyticum DSM 571 
1064,Thermoanaerobacterium xylanolyticum LX-11 
1067,Mahella australiensis 50-1 BON 
1069,Filifactor alocis ATCC 35896 
1070,Eubacterium sulci ATCC 35585 
1071,Eubacterium acidaminophilum DSM 3953 
1073,Clostridium sticklandii 
1074,Peptoclostridium difficile M120 
1075,Peptoclostridium difficile CD196 
1076,Peptoclostridium difficile 630 
1078,Peptoclostridium difficile
1083,Clostridium aceticum 
1084,Alkaliphilus metalliredigens QYMF 
1085,Alkaliphilus oremlandii OhILAs 
1090,Clostridium lentocellum DSM 5427 
1091,Lachnoclostridium phytofermentans ISDg 
1092,Butyrivibrio proteoclasticus B316 
1093,Clostridium saccharolyticum WM1 
1095,Clostridium sp. SY8519
1096,Eubacterium rectale ATCC 33656 
1097,Roseburia hominis A2-183 
1100,Eubacterium eligens ATCC 27750 
1106,Finegoldia magna ATCC 29328
1107,Parvimonas micra 
1109,Peptoniphilus sp. 1-1
1110,Anaerococcus prevotii DSM 20548 
1114,Clostridium acidurici 9a 
1115,Acetobacterium woodii DSM 1030 
1116,Eubacterium limosum KIST612 
1117,Eubacterium limosum 
1122,Candidatus Arthromitus sp. SFB-rat-Yit
1123,Candidatus Arthromitus sp. SFB-mouse-Japan
1124,Candidatus Arthromitus sp. SFB-mouse-NL
1127,Clostridium novyi NT 
1128,Clostridium botulinum BKT015925 
1130,Clostridium bornimense 
1131,Clostridium cellulovorans 743B 
1133,Clostridium botulinum B str. Eklund 17B  NRP  
1134,Clostridium botulinum 202F 
1135,Clostridium botulinum E3 str. Alaska E43 
1138,Clostridium butyricum 
1139,Clostridium butyricum 
1140,Clostridium butyricum 
1143,Clostridium beijerinckii NCIMB 8052 
1144,Clostridium pasteurianum NRRL B-598 
1145,Clostridium beijerinckii 
1148,Clostridium saccharobutylicum DSM 13864 
1149,Clostridium saccharoperbutylacetonicum N1-4 HMT  
1154,Clostridium baratii str. Sullivan 
1155,Clostridium perfringens 
1156,Clostridium perfringens 
1157,Clostridium perfringens ATCC 13124 
1158,Clostridium perfringens str. 13 
1162,Clostridium perfringens 
1167,Clostridium tyrobutyricum 
1168,Clostridium kluyveri NBRC 12016
1169,Clostridium ljungdahlii DSM 13528 
1172,Clostridium scatologenes 
1173,Clostridium carboxidivorans P7 
1176,Clostridium pasteurianum BC1 
1177,Clostridium pasteurianum DSM 525   ATCC 6013 
1180,Clostridium acetobutylicum EA 2018 
1181,Clostridium acetobutylicum ATCC 824 
1184,Clostridium tetani 12124569 
1185,Clostridium tetani E88 
1187,Clostridium sporogenes 
1188,Clostridium botulinum A2 str. Kyoto 
1189,Clostridium botulinum A3 str. Loch Maree 
1190,Clostridium botulinum 
1192,Clostridium botulinum A str. ATCC 19397 
1194,Clostridium botulinum F str. Langeland 
1195,Clostridium botulinum H04402 065 
1198,Clostridium botulinum B1 str. Okra 
1199,Clostridium botulinum CDC 1436 
1200,Clostridium botulinum Ba4 str. 657 
1213,Intestinimonas butyriciproducens 
1214,Oscillibacter valericigenes Sjm18-20
1216,Ethanoligenens harbinense YUAN-3 
1217,Clostridium cellulosi
1219,Ruminococcus bicirculans 
1220,Ruminococcus albus 7   DSM 20455 
1224,Clostridium stercorarium subsp. stercorarium DSM 8532 
1225,Clostridium cellulolyticum H10 
1226,Clostridium sp. BNL1100 
1228,Clostridium clariflavum DSM 19732 
1229,Ruminiclostridium thermocellum DSM 1313 
1230,Ruminiclostridium thermocellum ATCC 27405 
1234,Mageeibacillus indolicus UPII9-5 
1239,Acetohalobium arabaticum DSM 5501 
1240,Halobacteroides halobius DSM 5150 
1242,Halothermothrix orenii H 168 
1243,Halanaerobium praevalens DSM 2228 
1244,Halanaerobium hydrogeniformans
1248,Kyrpidia tusciae DSM 2912 
1249,Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1 
1250,Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446 
1253,Paenibacillus bovis 
1254,Paenibacillus terrae HPL-003 
1255,@GCF 000507205.3 Paenibacillus polymyxa CR1 
1256,Paenibacillus peoriae 
1257,Paenibacillus polymyxa M1 
1258,Paenibacillus polymyxa SQR-21 
1259,@GCF 000164985.3 Paenibacillus polymyxa SC2 
1260,Paenibacillus polymyxa 
1265,@GCF 000146875.3 Paenibacillus polymyxa E681 
1269,Paenibacillus sp. Y412MC10 
1270,Paenibacillus sp. IHBB 10380 
1271,Paenibacillus stellifer 
1272,Paenibacillus sabinae T27 
1273,Paenibacillus durus 
1275,Paenibacillus durus ATCC 35681 
1278,Paenibacillus sp. FSL H7-0737 
1279,Paenibacillus odorifer 
1280,Paenibacillus sp. FSL R5-0345 
1283,Paenibacillus graminis 
1284,Paenibacillus riograndensis SBR5
1286,Paenibacillus sp. FSL H7-0357 
1288,Paenibacillus sp. FSL R7-0273 
1289,Paenibacillus sp. FSL R7-0331 
1292,Paenibacillus borealis 
1293,Paenibacillus sp. FSL R5-0912 
1294,Paenibacillus sp. FSL P4-0081 
1304,Paenibacillus beijingensis 
1305,Paenibacillus mucilaginosus 3016 
1306,Paenibacillus mucilaginosus K02 
1308,Paenibacillus mucilaginosus KNP414 
1310,Paenibacillus naphthalenovorans 
1312,Paenibacillus larvae subsp. larvae DSM 25430 
1314,Paenibacillus sp. 32O-W 
1318,Paenibacillus sp. JDR-2 
1320,Thermobacillus composti KWC4 
1322,Aneurinibacillus sp. XH2 
1323,Exiguobacterium sp. AT1b 
1324,Exiguobacterium sp. MH3 
1325,Exiguobacterium antarcticum B7 
1326,Exiguobacterium sibiricum 255-15 
1330,Virgibacillus sp. SK37 
1331,Amphibacillus xylanus NBRC 15112
